Internship_quality_score,aptitude_score,Cgpa
5.784706554,64.78762377,7.259267176
6.980493303,59.20115827,6.61666061
3.278180889,70.06129997,6.76079412
5.972455877,63.94708786,6.611709162
3.642415405,88.8568131,7.734289558
4.548455054,72.14218406,6.691749123
4.579515033,73.28785654,7.437677905
6.31539002,94.98689008,7.686127699
4.010608311,62.09791419,7.019608139
5.42133921,61.74490252,7.411551067
2.114218359,45.57657951,7.092539707
5.241480985,37.90823691,7.805034247
5.753064487,47.22402133,7.203536675
4.397442489,80.588102,6.609915021
3.837308032,70.52587751,7.085144182
5.647646054,55.03924901,6.436525048
1.621049062,51.70383249,5.921451662
3.993055354,54.74895471,7.811496052
4.757501424,88.9229263,7.187371786
5.063256446,61.53763577,6.181765948
5.240638363,73.9148443,7.381632662
5.587886118,80.36883165,6.970222211
6.298226637,87.51813988,6.435990515
3.326423245,85.44279495,7.153639293
4.011717635,65.55253249,7.379758586
4.000481834,49.45321846,6.850422958
5.72830847,45.57092497,6.943600978
5.086722368,81.20591164,7.0456105
2.653517337,71.17012518,7.406268605
3.443854746,33.29357766,8.361771956
2.049650162,67.82411426,6.518230352
5.511492498,67.23524514,6.297613931
6.442654254,66.27135462,6.774937954
5.105667657,63.07669488,5.749963314
5.705853374,82.16853078,6.412326739
4.571204814,93.62135653,6.14228879
3.646312213,70.38215107,7.349247843
3.831520243,68.23244697,6.237337113
3.549971769,77.78832251,6.763678872
3.503990807,62.72641137,6.806993876
1,35.93240085,5.261864363
4.063243132,79.82242259,5.743299078
1.557223643,76.91578292,6.686681146
2.735387712,68.61624803,5.581574025
5.169740571,62.54444819,7.071664545
7.370319326,68.5800602,7.147079636
4.258688149,77.80287077,6.055349748
7.401861774,64.69403299,6.847968772
6.815127312,61.69090983,6.638327734
4.884193903,63.62555133,6.452296139
3.819908873,70.86706367,6.990328842
4.547651866,62.75239019,7.370073034
7.386343485,62.53146,8.596533992
5.191934286,95.78032719,6.471743088
5.075464422,60.23011324,5.579011814
2.488910483,79.2755114,6.427392009
6.227899205,66.15113013,6.796035365
4.620699929,68.76756904,7.563605232
2.912163664,71.37208565,5.875546385
3.56138868,64.0470592,7.012494667
4.07381098,52.720231,6.526115235
4.826600283,62.18959754,6.122157978
2.866670045,100,5.78452314
1.153848998,58.07088643,6.670858714
3.588556542,72.62622778,7.125578369
3.229462718,59.96223548,5.902661042
2.812347483,88.66038779,6.3953668
3.980523211,68.65067254,7.087526777
1.087674446,76.05120804,7.714363096
4.045494633,62.78437523,7.177831885
6.856420571,83.00078368,6.968784384
